username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
MATINAHM,,,471,769,11967,2009-09-09 02:12:23,2020-10-25 23:41:32,22,“In the debate this past Thursday #Trump went hard on #Biden about the 1994 crime bill and he wasn’t wrong. This bill put 10’s of thousands of Black Men behind bars and destroyed thousands of families!”—- @minishmael #NOISundays #Election #Vote #BlackAgenda,"[{'text': 'Trump', 'indices': [52, 58]}, {'text': 'Biden', 'indices': [72, 78]}]"
JonBoles3,,,3,25,2569,2019-09-29 01:38:13,2020-10-25 23:38:58,0,What a shock! #Biden is #MailingItIn again from his basement. Really? 9 days before an #election? You can guess why if you watch #FoxNews to hear some #truth for a change. Be an #InformedVoter.....please!,"[{'text': 'Biden', 'indices': [14, 20]}, {'text': 'MailingItIn', 'indices': [24, 36]}, {'text': 'election', 'indices': [87, 96]}, {'text': 'FoxNews', 'indices': [129, 137]}, {'text': 'truth', 'indices': [151, 157]}, {'text': 'InformedVoter', 'indices': [178, 192]}]"
SoniaOwilliams,Author of Mastering the Mind by Mixing it Up & Maintaining My Mind and Moving Forward. https://t.co/0a67iFCJqn or https://t.co/nd27eDdvbT,Non stop ?’s and legit answers,6815,7768,4407,2012-11-03 20:28:29,2020-10-25 23:37:50,0,Question on @Quora: Do you think Donald Trump watches the speeches of Joe Biden and Barack Obama? #election #trump #biden #2020election  https://t.co/6DX9zsI7NU,"[{'text': 'election', 'indices': [118, 127]}, {'text': 'trump', 'indices': [128, 134]}]"
JFortin670,"Semi-Retired, Fmr. LEO, 2LT US Army MP, USAF, CMA class of 1988.  Executive, Entrepreneur, Lifetime Learner, Fmr. Official","Spokane Valley, WA",12814,11151,88192,2011-04-06 20:56:15,2020-10-25 23:30:02,0,"With the #Debates Over, #Biden Assails #Trump’s #Coronavirus Response
#election #leadership
https://t.co/wkj2W28GVP https://t.co/Wei7zhegmZ","[{'text': 'Debates', 'indices': [9, 17]}, {'text': 'Biden', 'indices': [24, 30]}, {'text': 'Trump', 'indices': [39, 45]}, {'text': 'Coronavirus', 'indices': [48, 60]}, {'text': 'election', 'indices': [70, 79]}, {'text': 'leadership', 'indices': [80, 91]}]"
EDITORatWORK,"★ READING ★ WRITING ★ DOGS ★ FOOTBALL ★ SINGING 
★ STAR TREK ★ MYSTERY AND SCIFI BOOKS ★ WESTERNS. 
EMAIL: tgilli52@gmail.com","Rural Hall, North Carolina, USA",3606,4102,114353,2009-01-27 19:19:41,2020-10-25 23:13:12,0,"#election Video links to ELECTION 2020 #politics #Trump #Biden #debates
https://t.co/qq4SQ6DUu3","[{'text': 'election', 'indices': [0, 9]}, {'text': 'politics', 'indices': [39, 48]}, {'text': 'Trump', 'indices': [49, 55]}, {'text': 'Biden', 'indices': [56, 62]}, {'text': 'debates', 'indices': [63, 71]}]"
DylanSudek1,Average joe,Pennsylvania ,353,23,1519,2017-02-23 15:33:14,2020-10-25 23:09:27,4,"Listen to my new apple podcast episode with @peterrough on the #USElection and the possible implications for Europe. We also covered #China, the #MiddleEast, the #GlobalSystem and much more in international relations. #Trump #Biden #election #geopolitics 
https://t.co/isnddcQ7rl","[{'text': 'USElection', 'indices': [80, 91]}]"
vtchakarova,Director @aies_austria I #GlobalSystem I #geopolitics I #globaltrends I #strategy I #Dragonbear I #strategicforesight Vi Veri Veniversum Vivus Vici,Vienna,3150,21876,87945,2011-11-29 09:15:05,2020-10-25 23:04:37,4,"Listen to my new apple podcast episode with @peterrough on the #USElection and the possible implications for Europe. We also covered #China, the #MiddleEast, the #GlobalSystem and much more in international relations. #Trump #Biden #election #geopolitics 
https://t.co/isnddcQ7rl","[{'text': 'USElection', 'indices': [80, 91]}]"
withliberte,Editor of No Ties Guild 🔔 Host of Liberty Bites Back! 🗽♏ 24 yrs old ✝️Christian✝️😷FREE THE FACE😷🏹Native🦅Independent🗽(Always For The Liberty Movement!),"Ohio, USA",1149,912,5253,2015-02-25 19:53:35,2020-10-25 23:04:09,0,New #Biden Videos LEAKED Triggering Media And #Democrat PANIC | #JoeBiden Gone Into Hiding Till #Election - No Events &amp; No #Press https://t.co/s4ih92HUCo The #media cover up may be the bigger #scandal and will go down in history for its brazen and overt actions. | #Election2020,"[{'text': 'Biden', 'indices': [4, 10]}, {'text': 'Democrat', 'indices': [46, 55]}, {'text': 'JoeBiden', 'indices': [64, 73]}, {'text': 'Election', 'indices': [96, 105]}, {'text': 'Press', 'indices': [127, 133]}, {'text': 'media', 'indices': [162, 168]}, {'text': 'scandal', 'indices': [196, 204]}, {'text': 'Election2020', 'indices': [269, 282]}]"
KeelOdd,,,17,2,963,2020-07-09 19:43:06,2020-10-25 22:57:05,0,".@JoeBiden #elections have consequences.  If this #election goes to #OverTime, you lose thanks to #AmyConeyBarrett. Gosh Darn It.  #TooBad. #JoeHeadsOfIntoTheSunset You were entertaining however never #POTUS material #Biden   #TooMuchBaggage.  More than Hillary actually. #VoteRed https://t.co/WtOOkKFDkB https://t.co/KeZYTJf7np","[{'text': 'elections', 'indices': [11, 21]}, {'text': 'election', 'indices': [50, 59]}, {'text': 'OverTime', 'indices': [68, 77]}, {'text': 'AmyConeyBarrett', 'indices': [98, 114]}, {'text': 'TooBad', 'indices': [131, 138]}, {'text': 'JoeHeadsOfIntoTheSunset', 'indices': [140, 164]}, {'text': 'POTUS', 'indices': [201, 207]}, {'text': 'Biden', 'indices': [217, 223]}, {'text': 'TooMuchBaggage', 'indices': [226, 241]}, {'text': 'VoteRed', 'indices': [272, 280]}]"
dnaRtests,#writing #reading #KindleUnlimited #kindle #Kindnessmatters #author #poetry #memoir #childrensbooks #artist #mathematician #vegan, 🇺🇸,4484,4274,7942,2011-07-16 15:18:31,2020-10-25 22:54:00,3,"BUY THIS BOOK, IT IS AWESOME
👑🤴https://t.co/3kqOktYZEE
Hardcover 
$16.80 
#politics #trump #Newsnight #Republicans #election #usa #bjp #AmericanMurder #DonaldTrump #VoterSuppression #democrat #Democrats #LiberalismIsAMentalDisorder #NarendraModi #TrumpVirus #TrumpKnew #Biden","[{'text': 'politics', 'indices': [89, 98]}, {'text': 'trump', 'indices': [99, 105]}, {'text': 'Newsnight', 'indices': [106, 116]}, {'text': 'Republicans', 'indices': [117, 129]}, {'text': 'election', 'indices': [130, 139]}]"
